PLAYER,POS,BODY FAT%,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Zach Edey,C,-%,10,10.75,7' 3.75'',9' 7.00'',299,7' 10.75''
Donovan Clingan,C,-%,10,10.25,7' 1.75'',9' 7.00'',282,7' 6.75''
Quinten Post,C,-%,9.25,10,7' 0.00'',9' 4.00'',244.4,7' 2.50''
Alexandre Sarr,C,-%,9,10,6' 11.75'',9' 2.00'',224.2,7' 4.25''
Kel'el Ware,C,-%,9.5,10.25,6' 11.75'',9' 4.50'',230,7' 4.50''
Jesse Edwards,C,-%,9.25,10,6' 11.50'',9' 3.00'',236,7' 5.00''
Kyle Filipowski,PF,-%,8.75,9.5,6' 10.75'',8' 11.00'',229.8,6' 10.50''
Ariel Hukporti,C,-%,9.25,10.25,6' 10.75'',9' 3.00'',246.2,7' 2.50''
Yves Missi,C,-%,9.5,10,6' 10.75'',9' 1.50'',229.4,7' 2.00''
Ulrich Chomche,C,-%,9.25,10.25,6' 10.25'',9' 1.00'',232.4,7' 4.00''
N'Faly Dante,C,-%,9.25,10,6' 10.00'',9' 3.00'',260.2,7' 6.00''
Oso Ighodaro,C,-%,9,10,6' 9.50'',8' 8.50'',222,6' 11.00''
Izan Almansa,C,-%,9.25,9.25,6' 9.25'',9' 2.00'',219.6,7' 1.00''
Trevon Brazile,PF,-%,9,10.25,6' 9.25'',9' 0.50'',215,7' 3.75''
Tyler Smith,PF,-%,8.5,9,6' 9.00'',8' 9.00'',223.8,7' 1.00''
Matas Buzelis,SF,-%,8.5,9.25,6' 8.75'',8' 9.50'',197,6' 10.00''
DaRon Holmes II,C,-%,8.75,9,6' 8.75'',9' 0.00'',236.2,7' 1.00''
Bobi Klintman,PF,-%,8.75,10,6' 8.75'',8' 10.50'',212.2,6' 11.00''
Tidjane Salaun,PF,-%,8.5,9.75,6' 8.75'',9' 2'',217.4,7' 1.5''
Zaccharie Risacher,SF,-%,8.5,8.75,6' 8.5'',8' 11'',194.6,6' 9.5''
Adem Bona,C,-%,9.5,10,6' 8.25'',9' 0.00'',243.2,7' 3.75''
Tristan Da Silva,PF,-%,9,9.5,6' 8.25'',8' 8.50'',216.8,6' 10.25''
PJ Hall,C,-%,9,9.75,6' 8.25'',8' 7.50'',239.6,7' 1.50''
Coleman Hawkins,PF,-%,8.75,8.75,6' 8.25'',8' 11.00'',215.2,7' 0.00''
Nae'Qwan Tomlin,PF,-%,9,10,6' 8.25'',9' 1.00'',205,7' 2.50''
Pacome Dadiet,SF,-%,8.5,9,6' 7.75'',8' 11.5'',216.8,6' 9''
Isaac Jones,C,-%,9.25,10.25,6' 7.75'',9' 0.00'',235,7' 3.00''
Johnny Furphy,SF,-%,8,9.5,6' 7.50'',8' 8.50'',188.8,6' 8.00''
Melvin Ajinca,SF,-%,8.5,9.75,6' 7.25'',8' 10.5'',213.8,6' 7.5''
Enrique Freeman,PF,-%,8.75,10,6' 7.25'',9' 0.00'',212,7' 2.00''
Nikola Djurisic,SF,-%,8.5,10,6' 7.00'',8' 6.50'',208.8,6' 8.00''
Kyshawn George,SF,-%,9,10.25,6' 7.00'',8' 9.00'',208.8,6' 10.25''
JT Toppin,PF,-%,9.25,9.25,6' 7.00'',8' 10.00'',221,7' 0.50''
Jalen Bridges,SF,-%,9,10,6' 6.75'',8' 9.00'',213.4,6' 10.00''
Trentyn Flowers,SF,-%,8.75,9.5,6' 6.50'',8' 4.50'',201.4,6' 8.25''
Ron Holland II,SF,-%,8.75,9,6' 6.50'',8' 8.00'',196.8,6' 10.75''
Alex Karaban,PF,-%,8.75,9.25,6' 6.50'',8' 10.50'',219.2,6' 11.00''
Jaylen Wells,SF,-%,8.25,9.25,6' 6.50'',8' 7.50'',206.2,6' 7.25''
Cody Williams,SF,-%,8.25,9,6' 6.50'',8' 7.00'',178.4,7' 1.00''
Ryan Dunn,PF,-%,9,9.75,6' 6.25'',8' 7.00'',213.6,7' 1.50''
Keshad Johnson,PF,-%,9.25,10.75,6' 6.25'',8' 7.00'',224,6' 10.25''
Jonathan Mogbo,PF,-%,8.75,8.75,6' 6.25'',9' 0.50'',217.2,7' 2.00''
