Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Trey Alexander,"Oct 24, '24, DEN vs. OKC",21,1,18,79,7,24,2,10,2,2,0,9,7,1,1,3,8,18,0.292,0.2,1,4.4,1,0.5,0.4,0.1,0.1
2,Jamison Battle,"Oct 23, '24, TOR vs. CLE",23,1,39,491,75,163,52,123,12,14,21,71,33,5,5,12,44,214,0.46,0.423,0.857,12.6,5.5,1.8,0.8,0.1,0.1
3,Damion Baugh,"Feb 12, '25, CHO @ ORL",24,1,1,27,5,8,2,4,4,4,0,5,3,1,0,2,3,16,0.625,0.5,1,27,16,5,3,1,0
4,Reece Beekman,"Oct 29, '24, GSW vs. NOP",23,1,22,222,18,51,4,19,5,9,5,15,31,13,2,11,14,45,0.353,0.211,0.556,10.1,2,0.7,1.4,0.6,0.1
5,Adem Bona,"Oct 23, '24, PHI vs. MIL",21,1,37,411,41,59,0,0,28,44,38,104,11,7,28,25,70,110,0.695,,0.636,11.1,3,2.8,0.3,0.2,0.8
6,Jalen Bridges,"Nov 13, '24, PHO @ SAC",23,1,5,25,1,4,1,4,1,2,0,3,0,0,0,4,0,4,0.25,0.25,0.5,5,0.8,0.6,0,0,0
7,Keion Brooks Jr.,"Feb 5, '25, NOP @ DEN",24,1,2,10,1,2,0,1,2,4,1,3,1,0,0,0,1,4,0.5,0,0.5,5,2,1.5,0.5,0,0
8,Matas Buzelis,"Oct 23, '24, CHI @ NOP",20,1,53,787,123,279,48,133,43,54,32,148,29,14,45,33,82,337,0.441,0.361,0.796,14.8,6.4,2.8,0.5,0.3,0.8
9,Branden Carlson,"Nov 25, '24, OKC @ SAC",25,1,18,104,18,38,13,30,2,2,5,26,6,2,6,2,12,51,0.474,0.433,1,5.8,2.8,1.4,0.3,0.1,0.3
10,Carlton Carrington,"Oct 24, '24, WAS vs. BOS",19,1,54,1594,181,444,90,253,38,46,22,214,215,39,10,84,129,490,0.408,0.356,0.826,29.5,9.1,4,4,0.7,0.2
11,Devin Carter,"Jan 3, '25, SAC vs. MEM",22,1,16,158,19,61,8,31,13,18,6,40,21,5,3,8,14,59,0.311,0.258,0.722,9.9,3.7,2.5,1.3,0.3,0.2
12,Stephon Castle,"Oct 24, '24, SAS @ DAL",20,1,51,1303,235,560,57,197,130,177,42,144,181,44,14,98,88,657,0.42,0.289,0.734,25.5,12.9,2.8,3.5,0.9,0.3
13,Ulrich Chomche,"Oct 23, '24, TOR vs. CLE",19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,0.4,,0.5,4.6,0.7,1.1,0.3,0,0.1
14,Cam Christie,"Dec 4, '24, LAC vs. MIN",19,1,6,31,4,12,2,8,1,2,1,6,2,2,0,2,2,11,0.333,0.25,0.5,5.2,1.8,1,0.3,0.3,0
15,Jaylen Clark,"Jan 9, '25, MIN @ ORL",23,1,13,176,22,50,9,20,10,14,11,20,5,7,1,2,19,63,0.44,0.45,0.714,13.5,4.8,1.5,0.4,0.5,0.1
16,Donovan Clingan,"Oct 23, '24, POR vs. GSW",20,1,41,668,95,174,7,23,32,47,115,277,30,17,64,47,108,229,0.546,0.304,0.681,16.3,5.6,6.8,0.7,0.4,1.6
17,Isaiah Collier,"Nov 7, '24, UTA @ MIL",20,1,45,1057,123,301,21,98,32,50,16,138,260,34,10,124,101,299,0.409,0.214,0.64,23.5,6.6,3.1,5.8,0.8,0.2
18,Isaiah Crawford,"Dec 8, '24, SAC vs. UTA",23,1,4,14,1,3,0,1,1,2,0,4,0,0,0,0,1,3,0.333,0,0.5,3.5,0.8,1,0,0,0
19,Cui Yongxi,"Oct 27, '24, BRK vs. MIL",21,1,5,10,1,7,0,3,1,2,0,2,0,0,0,0,0,3,0.143,0,0.5,2,0.6,0.4,0,0,0
20,Tristan Da Silva,"Oct 23, '24, ORL @ MIA",23,1,52,1294,161,379,63,190,45,52,63,199,87,27,13,47,74,430,0.425,0.332,0.865,24.9,8.3,3.8,1.7,0.5,0.3
,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
21,Pacome Dadiet,"Oct 22, '24, NYK @ BOS",19,1,13,83,6,20,5,14,2,2,0,13,5,1,2,1,5,19,0.3,0.357,1,6.4,1.5,1,0.4,0.1,0.2
22,RayJ Dennis,"Jan 10, '25, IND vs. GSW",23,1,6,11,1,3,1,3,2,2,1,3,1,2,0,2,1,5,0.333,0.333,1,1.8,0.8,0.5,0.2,0.3,0
23,Rob Dillingham,"Nov 2, '24, MIN @ SAS",20,1,30,373,74,162,23,61,5,10,6,33,72,11,0,41,29,176,0.457,0.377,0.5,12.4,5.9,1.1,2.4,0.4,0
24,Alex Ducas,"Oct 24, '24, OKC @ DEN",24,1,14,67,8,21,7,16,0,0,5,15,2,2,0,2,4,23,0.381,0.438,,4.8,1.6,1.1,0.1,0.1,0
25,Ryan Dunn,"Oct 23, '24, PHO @ LAC",22,1,49,910,130,294,48,155,11,23,48,164,43,21,27,20,111,319,0.442,0.31,0.478,18.6,6.5,3.3,0.9,0.4,0.6
26,Zach Edey,"Oct 23, '24, MEM @ UTA",22,1,40,825,156,268,14,40,52,76,128,304,37,26,47,56,104,378,0.582,0.35,0.684,20.6,9.5,7.6,0.9,0.7,1.2
27,Justin Edwards,"Nov 24, '24, PHI vs. LAC",21,1,25,595,78,168,36,99,12,19,25,79,35,21,7,21,54,204,0.464,0.364,0.632,23.8,8.2,3.2,1.4,0.8,0.3
